text,label
اللهم اصلح حال المسلمين اجعلهم من الرباتين حتى نحرج مما نحن فيه لانه ان خلصت النوايا صلحت الاعمال,Positive
اللهم اصلح حالنا وشاننا كله واجمع لنا خير الامور,Positive
اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر لي زلاتي,Positive
اللهم اصلح نفوسنا لما يرضيك عنها,Positive
اللهم اعز المسلمين,Positive
اللهم اعصمنا عن معصيتك,Positive
اللهم اعنا ترك كل ما لا ترضي,Positive
اللهم اعنا على انفسنا اجعلنا نرى الدنيا صغيره الاخره كبير,Positive
اللهم اعنا على ذكرك وشكرك وحسن عبادتك,Positive
اللهم اعنى على ترك المعاصى حبا فى نور وجهك,Positive
اللهم اعني على ذكرك شكرك حسن عبادتك,Positive
اللهم اغفر لنا انا كنا ظالمين ادخلنا الجنه سالمين,Positive
اللهم اغفر له وسع لك رحمتك له اصلح له ذريته,Positive
اللهم اغفر لى لامه المسلمين اجمعين,Positive
اللهم اغفر لي ما لا يعلمون اجعلني خيرا مما يظنون,Positive
اللهم اغننا بحلالك عن حرامك اغننا بفضلك عمن سواك,Positive
اللهم اكثر من امثالك يا دكتور عمروالله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس,Positive
اللهم اكرمنا برضاك,Positive
اللهم اكفني بحلالك عن حرامك واغنني بفضلك عمن سواك يا رب,Positive
اللهم القلوب الضاله,Positive
اللهم امليء قلبي بحبك,Positive
اللهم ان كان رزقي بعيدا فقربه لي ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه,Positive
اللهم ان كان لي عوض على صبري,Positive
اللهم انا نسالك رزقا حلال طيبا مباركا يعيننا علي طاعتك,Positive
اللهم انا نشكو اليك ضعف قوتنا قله حيلتنا حسبنا الله نعم الوكيل,Negative
اللهم انا نعوذ بك من الرياء النفاق,Positive
اللهم انا نعوذ بك من غضبك نساللك رضاك,Positive
اللهم انر قلوب المسلمين ايقظهم من غفلتهم,Positive
اللهم انزع من قلبى حب كل شىء لا تحبه,Positive
اللهم انزع من قلوبنا مالا يرضيك,Positive
اللهم انس قلوبنا بذكرك,Positive
اللهم انصر الاسلام واعز المسلمين,Positive
اللهم انك عفو تحب العفو فاعف عنا,Positive
اللهم انى اقسمت عليك بك ان تهدى شباب المسلمين وتنور قلوبهم كما انعمت على طارق بنعمه الاسلام,Positive
اللهم اني اسالك اخلاص النيه كرم الطويه,Positive
اللهم اني اسالك خشيه في السر والعلن,Positive
اللهم اني اسالك صبرا,Positive
اللهم اني اسالك فعل الخيرات و ترك المنكرات و حب المساكين و ان تغفر لي و ترحمني و تتوب علي,Positive
اللهم اني استغفرك من كل الذنوب والمعاصي واتوب اليك,Positive
اللهم اني اعود بك من الذنوب التي تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك,Positive
اللهم اهدنا الى صراطتك المستقيم,Positive
اللهم اهدنا ثم ثبتنا,Positive
اللهم اهدنا صراطك المستقيم,Positive
اللهم اهدنا فيمن هديت وعافنا فيمن عافيت,Positive
اللهم اهدنا لكل عمل يقربنا اللى حبك,Positive
اللهم اهدنى الى ما تحب ترضى,Positive
اللهم باركي فيه واهدي كل مسلم لطريق النور,Positive
اللهم تب علينا انك التواب الرحيم,Positive
اللهم ثبت قلوبنا على الايمان,Positive
اللهم ثبتنا بالقول الثابت في الحياه الدنيا وفي الاخره,Positive
اللهم ثبتنا على قيام الليل في رمضان,Positive
اللهم ثبتنا وثبته على دينك الحنيف وسنه نبيك,Positive
اللهم ثبته على دين الاسلام اللهم يا مقلب القلوب ثبت قلبي على دينك,Positive
اللهم حسننا حسن اعمالنا ظاهرا باطنا لا تجعلنا نعمل الا ما يرضيك عنا برحمتك يا ارحم الراحمين,Positive
اللهم رزقنا مكارم الاخلاق,Positive
اللهم زيد المسلمين وبارك فيهم,Positive
اللهم زينا بالخلق الحسن ارزقنا الامانه نظافه القلب اللسان امين,Positive
اللهم عفوك رضاك الجنه,Positive
اللهم قني شر نفسي,Positive
اللهم قني عذاب النار ادخلني جناتك,Positive
اللهم قوِّ ايماننا لنكون اصحاب عزيمه قرار,Positive
اللهم قونا على نفوسنا الضعيفه,Positive
اللهم كما حسنت خَلقنا حَسن اَخلاقِنا,Positive
اللهم كن مع اخواننا في سوريا,Positive
اللهم لا اعتراض على حكمك ارزقنا انت خير الرازقين,Positive
اللهم لا تجعل لحب الدنيا سلطانا على قلبي بل اجعل حبك في قلبي سلطانا,Positive
اللهم لا تجعلنا من المنافقين,Positive
اللهم لا تحرم احد من هذه النعمه,Positive
اللهم لا تدع لى ذنبا الا غفرته اللهم اصلح لى دينى,Positive
اللهم لا تكلنا الى انفسنا طرفه عين,Positive
اللهم لا شماته ليش ياربي يحرجوا انفسهم,Negative
اللهم لم شمل جميع المسلمين,Positive
اللهم ما اصبح بي من نعمه او باحد من خلقك فمنك وحدك لا شريك فلك الحمد لك الشكر,Positive
اللهم ما اعنا على التغير,Positive
اللهم معنا علي طاعتك ورضاك وقوي عذامئنا,Positive
اللهم نسالك السلامه من مثل هذه الخيبه,Positive
اللهم نقي نفوسنا اجعلنا لك من المخلصين سرا جهرا,Positive
"اللهم هون برد الشتاء على عبادك المستضعفين في كل مكان ،اللهم انـزل دفئك ورحمتـك على كل فقيـر لا ماوى له",Negative
اللهم وفقنا لما تحب ترضى يا رب,Positive
اللهم يا مجيب من دعاك اعنا على تقواك بتقواك وارزقنا حسن طاعتك وتمام رضاك  واغفرلنا ولوالدينا ولكل من له حق علينا,Positive
اللهم يا محول الاحوال حول حالى ان احسن حال,Positive
اللي غنى عدوله محاوله استخفاف دم من البرنامج,Negative
اللي لازم يصير اضراب جميع موظفي الدوائر الحكوميه الخاصه لمده اسبوع شوف بعدها,Negative
اللي لفت انتباهي الدبه اللي جنبها,Negative
الماء اساس الحياه,Positive
المال الاسود جريمه بحق الوطن والمستقبل,Negative
المراه تهان وتعامل كاداه جنسيه تحت مسميات عديده كالمسيار والمسفار والمصياف الخ وكلو بتمنو,Negative
المراه كلها عوره حتى صوتها عوره,Negative
المسلسلات خربت بيوت العالم,Negative
المسلم الفطن النقي يتصرف بما يرضي الله في السر العلن نسال الله عز وجل ان نتبع كل ما يرضيه عنا,Positive
المشاركين بينو للناس انه اللى قايمين على البرنامج حمير,Negative
المشكله في ناس تقنع حالها انه جورج وسوف له علاقه بالاغاني,Negative
المشكله ناس بتسمع حالها بالحمام هيه وبتغني,Negative
المعنى الحقيقي لعاهاتك يا وطن,Negative
المغرب بريء منك على الاقل اذا كنت لهجتنا صعبه فتكلم باللغه العربيه,Negative
الملح احسن علاج لالتهاب الحلق ومفعوله اسرع من الادويه,Positive
المنتخب الايطالي عقيم هجوميا بعد ماكان منتخب يخشى هجومه كل المنتخبات,Negative
المهم الدعاء في السجود حتى تغسل عينيك الدموع,Positive
المهم هو الصادق معي الناصح لي,Positive
المواساه والمحبه بكل الامور رمز الاخوه,Positive
الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفائده بلا منه ا?هم من هيك انه المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟,Negative
المومين الى بعضهم كالبناء الزى يشد بعضه البعض,Positive
النظافه من الايمان,Positive
النقاش العقلاني ينتهي يانك تقنع الشخص يا انك تقتنع اذا ما انتهى النقاش كذا واللي قدامك مصدي الحل الثالث تتفل بوجهه و بكذا يكون انتهى النقاش,Negative
النيه دايما بتكون موجوده وربنا المعين,Positive
الواحد عايش وسط قرف,Negative
الوحيد الذي لايتركني ولو لحظه,Negative
الوفاء اصبح شئ نادر يكاد يكون معدوم,Positive
الوفاء في غير قلبك ما لقيت,Positive
الى ابن بشار الاسد كس اخت ابوك,Negative
الى اعتصام مفتوح ميدان تحرير للتخلص من قوى الفساد الافساد,Negative
الى جهنم وبئس المصير,Negative
الى يقارن بينه وبين مرسى يبقى متخلف,Negative
الي استحو ماتو,Negative
الي انا شايفو انو المفاعل راح ينعمل في الاردن راح يخدم دول تانيه يعني مش عشان سواد عيونا,Negative
"اليك يا ربي قلبا لم يستعن بسواك، ياوي اليك لترضى ويهتدي بهداك",Positive
اﻻسلام ليس فيه رهبانيه انما هو دين علم وعمل وبحث وتطوير... وعندما طبقنا هذا المبدا سدنا العالم,Positive
اما الغبي اللي يقلد جورج وسوف,Negative
اما في الدين فتصير اخوه في الله وهي ارقى العلاقات الانسانيه بصحيح الحديث رب اخ لم تلده امك,Positive
اما وهابيتك فحدث ولا حرج الناس يقادون الى المساجد غصبا ويجلدون كالابقار ان هم ابوا,Negative
امشي عدل يحتار عدوك فيك,Positive
املا رئتيك بعبق السماء مع ولاده صباح جديد تهتز له الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك في فرح,Positive
اموت بصوتها,Negative
اموت فيج رويده,Negative
اميره ممكن اضافه لو سمحتي,Positive
امين يا رب انت شاب زي الفل ما شاء الله عليك,Positive
ان  المعلم الذي يسعى للتطوير والاستزاده هو الاقدر على غرس الالتزام والطموح في طلابه,Positive
ان الجميل اذا اخفيته ظهرا,Positive
ان الدين عند الله الاسلام هذا هو الدين الذي يجب ان يعتنقه كل انسان علي وجه الارض وليس العرب فقط اللهم اهدي غير المسلمين الي دين الاسلام,Positive
ان الله على كل شيء قدير,Positive
ان الله لا يتخل عن عباده ابدا,Positive
ان الله لا يضيع اجر المحسنين,Positive
ان الله هو الرزاق دو القوه المتين,Positive
ان النجاح يحتاج الي قلبا ثابت عقلا راشد طموحا واعد تحدي كاسر,Positive
ان شاء الله ربنا يعينا على فعل الطاعات,Positive
ان شاء الله هنكمل مشوار النجاح,Positive
ان شاء الله وربنا يعيننا,Positive
ان شاء الله يتقبل الله صلاتنا يزيد في صلاتنا الخشوع,Positive
ان من صفات الاسلام الامانه,Positive
انا ابو عدوله هذا لو قدامي صدق اني راح العن ابو من جابه,Negative
انا احب هذا الكاتب,Positive
انا اخدت قرار وبعدت عن معصيه لله وقدرت وربي وفقني,Positive
انا اردني بقول الشعب بيستاهل غلا اكثر من هيك,Negative
انا اشوفه انه عادي ولا فيه اي معنى وايش مليوني مشاهد والله انه ما يستحق الى هذا الحد من المشاهده وبعدين هاض شي مقزز,Negative
انا اقدر الاخلاص الوفاء بشكل كبير,Positive
انا الوحيده الي احس طعم الببسي كنه حديد مصدي,Negative
انا انجنيت,Negative
انا انصح كل انسان ان لايكذب لان الكذب مداه قصير,Positive
انا بحب كل الناس بتمنالهم الخير,Positive
انا بدات اتحرك شاركت بفكره ستغير الكثير من واقعن,Positive
انا بكرهك,Negative
"انا توجيهي سعودي و بدرس بجامعه من احسن جامعات الاردن ، و الشعب قاعد يعيد توجيهي و يرسب من ورى الوزير ",Negative
انا حاسه انه قلبى مليان وعامر بنور الله,Positive
انا خلينى ساكته احسن,Negative
انا دايما فرحان مش سائل بالدنيا الحمد لله,Positive
انا دمرت انا دمرت مستقبلي ضاع وما معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم ما في شغل الاردن,Negative
انا شوفت وقاحه بس زاي وقاحه الاخوان ما شوفت,Negative
انا ضد النووي كالاردن البحث عن مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء و الاجدى بنا ايضا ان نبحث عن سبل لحل مشكله المياه بالمبالغ التي ستصرف على المفاعلات النوويه,Negative
انا عرف شيء والله ببكي اكتر ما بضحك,Negative
انا علي ثقه اني استطيع فعل اي شئ لاني انا من صنع الله,Positive
انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله,Positive
انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي من ربنا بجد الحمد لله,Positive
انا فعلا مؤمن بالفكره دي جدا وبحاول انفذها,Positive
انا كل يوم اقول غدا سوف اصلي لكن لا اقدر انا ادعوا الله دائما ان يهديني ارجو من من يملك حل مراسلتي,Positive
انا لا احلم ان اغير العالم ولكن احلم بان استطيع ان ارسم البسمه علي وجوه الاخرين,Positive
انا لاحظت اللبنانيين انهم ماعندهم روح الكوميديا نهائيا,Negative
انا لله انا اليه راجعون الله يستر هالبلد,Negative
انا لو مكان راغب اروح انتحرر,Negative
انا مِا اغيب الا اذا كرهّت اني ابقى راجع افعالك قبل كُل حاجه,Negative
انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه,Negative
انا متشائم رح اضل متشائم حتى ينزلوا البنزين,Negative
انا مش مسؤول عن الحراميه يتفنجرو بمصاري البلد انا اشحد,Negative
انا مع الاخ محمد سلامه بهالموضوع,Negative
انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان,Positive
انبسط يا عم افرح,Positive
انت ما تستحي تقارن القران بوحده ساقطه انعل ابوك لا ابو الملحد,Negative
انت ما شفت النسخه الاوروبيه والامريكيه والماليزيه من نفس البرنامج فيها بلاوي اكثر من كذا بس حنا العرب فينا عقده النقص والتخلف,Negative
انت مو انت انت جوعان كل شوكولاته افرح,Positive
انت واحد حقير,Negative
انت واحد عنجد قليل ادب الله يموت الي امثالك,Negative
انت واحد ما بتستا هل الجزمه,Negative
انت يا دكتور خير اخ ربنا يزور عليك,Positive
انتخب مين يا عم هى ناقصه لبخه فى الكلام معتش الا الاهبل ده كمان يبقى رئيس جمهوريه,Negative
انتم يا قطريه شن عارفكم السياسه انتم لاعندكم جيش ولا استراتجيه ثابته انتم عملاء امريكا يا خونه,Negative
انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين,Positive
انته والمعك كلهم سافلين ووقحين,Negative
انتو كلاب ازى تسو المصحف بى كلابه زى ده,Negative
انتي عنجد بنت فاشله,Negative
اندهش لما عرف الحقيقه,Negative
انسان غريب,Negative
انشاء الله نكون راضين بقضاء الله لكننا نرجو من الله اللطف فيه,Positive
انشاء الله هنعمل حاجه تفتخرو فيها,Positive
انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه وما رح اتخلص غير لما نتخزق,Negative
انما المؤمنون اخوه فاصلحو ذات البين,Positive
انما بعثت لاتم مكارم الاخلاق,Positive
اننا نعيش في زمن بلا رحمه,Negative
انني كومه من القلق والرجفه اكثر من كوني انسان,Negative
انه دين يسر وليس بدين عسر,Positive
انه غير مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,Positive
اني احبك في الله,Positive
اه لو لا القران لقلت ان انكر الاصوات لهذه الاصوات,Negative
اه يا ابو القمل,Negative
اه ياشويه عاهات,Negative
اهل العقول براحه ام نسيانك يابو نسيان صعب والله صعب,Negative
اهلا بك في دين الحق والسلام,Positive
اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير,Positive
اهلا وسهلا بشخصك الكريم,Positive
اهلا وسهلا بك بيننا يا طارق,Positive
اهم اشي اكون مبسوط,Positive
اهم شي الواسطه والمظهر الخارجي,Negative
اهما ودهم يروحون النار لكن النار مارضت فيهم,Negative
اوسخ شي المناديل,Negative
اوغاد باعو البلد,Negative
اوقف القرار للحفاظ على الوطن,Negative
اول واحد ذكرنى بصاحب اسمه قرده,Negative
اي الله صحيح اهم شي الانسان كرامته,Positive
اي تفائل هاد يا زلمه روح تشائم احسلك,Negative
اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,Negative
اي والله سوبر,Negative
ايس شراع القرف,Negative
اين ذهبوا العلماء والمخترعين والمفكرين جرب في جرب,Negative
ايه الاحساس الراقى ,Positive
ايه الهبل دا,Negative
ايه راحه فيها المسكين ياحرام,Negative
ايها الصغار المتناكفون انكم مع كل منشور ضد بعضكم البعض تصغرون اكثر مما انتم صغار فلا يسلك هذا الطريق الا صغير ساذج يحب ان يعيش على القذارات,Negative
ايوه هيك بدنا ياكم يا شباب بترفعو الراس,Positive
باذن الله بديت ولو مؤخرا بنفسى الحمد لله,Positive
بارد ومصقع,Negative
بارك الله في دين الاسلم,Positive
بارك الله في كاتبها,Positive
بارك الله فيك انا نضال فدعولي بزوجه صالحه,Positive
بارك الله فيك نتمنى المزيد من النصائح,Positive
بارك الله لكما وبارك عليكما وجمع بينكما على خير,Positive
بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه,Negative
بالله عليك فين الاناقه في الناس اللي بتغني دي,Negative
باللـــه عليكم الم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناه اخرى,Negative
بالله يا شباب وش رايكم بالاشكال هذه هل تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول لهم حرام عليكم هذول من دمكم,Negative
"بالمناسبه انا مؤدب جدا ، لا احتسى الكحول ولا ابحث عن علاقات مشبوه",Positive
بتخافى حد ياخد مكانك مع انك مالكيش مكان اصلا ,Negative
بتقول كلام زي الفل,Positive
بتمنى لو ان تقوم بعثه للدعاه من مصر تزور جميع البلاد تعرفهم تشرح ما هو الدين الاسلامي تنشر بحق فى كل مكان,Positive
بجد ربنا يبارك فى كلماتك بتوصل والله,Positive
بجد موضوع رائع وانا اجد انه مناسب ايضا لهذا الوقت يارب احفظنا من جميع الفتن,Positive
بدعى على طول بان الله يرزقنى الخشوع,Positive
بدك الصراحه بدون زعل جهنم الزبانيه من الملائكه تنتظرك تموت لتشرب من فروج المومسات صديد اهل النار ان شاء الله يا اوباش سوريا,Negative
بدكو تخلونا نشحد,Negative
بدي اروح عمره الله ييسر,Positive
برامج سخيفه تهدف لهدم الامه,Negative
برك الله فيك وجعلها في مزان حسناتيك,Positive
برلمان المانيا يقر باغلبيه كبيره التخلي عن الطاقه النوويه حتى 2022 الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله لا يطعمنا الحج والناس مروحه,Negative
برنامج ساقط,Negative
برنامج فاشل جدا,Negative
برنامج قديم,Negative
برنامج معوق ومشاركين معوقين:,Negative
بس اكيد وراها مصلحه,Negative
بس الحكام ماعندهم ذوق للاسف,Negative
بس الله لا يسامحكم تلقوها بصحتكم ان شاء الله,Negative
بس اللي قاهرني اللي ما ينطقون حرف الراء التغ من جدهم جايين يبون يغنون,Negative
بس مقزز,Negative
بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح,Negative
بسمه امل حلوه,Positive
بصفحات الفيزا على جواز السفر حاطين صور اثار الاردن عاساس هيك بس اشوفهم رح احن و ابطل اسافر,Negative
بصمات راقيه لاديب الدعوه محمد الغزالي,Positive
بطلت كتير وكل ما اترك والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول,Positive
بطني وجعتني من الضحك,Negative
بعد عقود مرض الكلب واستبشرنا نحن الشعب اخيرا مات الكلب واصبح ابن الكلب رئيسا بالاجماع ,Negative
بعد عن التشاؤم وعيش يومك بالتفاؤل لغد احلى,Positive
بعدك ما شفت اشي,Negative
بعدين الاردن تسبح على بحر من النفط الصخر الزيتي اشتغلو فيه بالاول بيكفينا 100 سنه,Negative
بعدين حتى الدول الي اعلنت انهاء المفاعلات النوويه زي اليابان تراجعت عن قراره,Negative
بعرف بس مو حلو,Negative
بعرف حكايات مليانه عاهات مثلكم مجانين يا صيدات جورج وسوف,Negative
بعض الاصدقاء يشبهون المطر في قدرتهم على تعديل المزاج هؤلاء من احتاجهم بقربي,Positive
بعن الله ابوك انت وعدوله يالسامج,Negative
بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون,Negative
بقرف زيك,Negative
بقطعكم شو حقودين,Negative
بكتب اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه,Negative
بكره واحد منهم بينتحر لم يضحكو عليه,Negative
بلا هم بلا وجع راس خليك رايق دايما,Positive
بلد يديرها اغبياء حراميه,Negative
بنحاول فى كل مره نكون افضل,Positive
بنص المقطع سقاله موطبيعيه,Negative
بني البرنامج النووي الاردني على عده تصورات خاطئه بشكل خطير تتعلق بالتكنولوجيا,Negative
بوركت جهودك و سلمت اناملك,Positive
بياعين شرف,Negative
بيجيبو الشيوخ ليسهز فيهم,Negative
بيه الزناخه,Negative
تابعت هذا الجوال من بدايه صدوره وقبل اقترابه للعالم العربي فعلا يستحق كل هذه الاهميه,Negative
تاثير الغرب مبين على العرب المجانين,Negative
تافهين جدا,Negative
تايم لاين اردني واعي ومثقف لفت انتباه زين الاردن لتغيير محتوى تغريدتها  شكرا لاحترامكم الراي العام في الاردن,Positive
تبا لكم,Negative
تبارك الرحمن اللهم زد فينا وبارك لنا يارحم الرحمين,Positive
تبتنا ياربن علي دكرك وشكرك حسن الخشوع في صلاتك,Positive
تبون تقنعونا انكم تخافون على صحه المدخن وعلشان كذا رفعتوا السعر..بيشترونه ولو ب100 دينار  وبيدخنون ولو بعظم وورق شجر,Negative
تحطم ماتبقى من اطيافي,Negative
تحيه لاهل فلسطين الغاليه,Positive
تحيه محبه وسلام ,Positive
تخسا هما وكل واحد بشد على يدهم مشكلتو شعب سوري يدعون البراء وهم في قمه النذاله,Negative
تدرون يا جماعه الخير انها بتتعدب والله,Negative
تذكر من كذب يكتب عندا الله كاذب لا اله الا الله اما من يتحرى الصدق يكتب عندا الله صادقا,Positive
ترتيب ونظام منقطع النظير في احدى مدارس الاناث بقطاع غزه,Positive
تركنا كل شئ من اجل رضا الله اللهم ارضى عنا,Positive
ترى هاي فاهمه موضوع الوطنيه غلط ترى مش لحالك اردنيه والله اعلم اذا انك اردنيه اصلا شغل سوالف حصيده,Negative
تسلم انت وافكارك,Positive
تسلم صرمايتك,Negative
تضحك كانها مفجوعه من شيئ,Negative
تضرب منك لعدوله,Negative
تعليم الاطفال على الاغاني وعلى الرقص بدل من تعليم القران الكريم بدل من تعليم الدين الله لا يوفقكم,Negative
تغني وهي متقرفه,Negative
تفائلوا بالخير تجدوه اعملوا الصالحات,Positive
تفه عليك وع شكلك اول ما نشهرت طلقت زوجها خنزيره,Negative
تفو كس امك حماره,Negative
تقول داخله فيها ترله انحولت مع الاغنيه,Negative
تكالبت عليه الكلاب ولم تسمح له بالبروز بعد البرنامج,Negative
تليفيزيون المستقبل صار سيء للغايه ما ادري ليش,Negative
تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق,Negative
تماما اللهم لا تحرمنا الصدق في الكلام,Positive
تنظرون لا الشام يقتلون بدم بارد,Negative
توكلت عليك يا الله,Positive
تويتر صاير ممل,Negative
تؤلمني باسم الحب,Negative
تيس مابفهم,Negative
ثبتك الله يا استاذي ونصرك,Positive
ثقيلين دم كثير,Negative
ثكلتك امك,Negative
جابو المسخره لنفسهم الله لايردهم,Negative
جامعه العلوم والتكنولوجيا الاردنيه افضل من 92.7% من جامعات العالم و 98.2% من جامعات الوطن العربي طبقا لتصنيف ويب,Positive
جد اشي بخزي,Negative
جزاك الله خيرا ياستاذ مصطفى على ماتبثه في انفسنا ربنا يكثر من امثالك,Positive
جزاك الله كل خير بسمه امل رائعه وشيقه جد,Positive
جزاك الله كل خير دكتور عمرو ربنا يتقبل منا منكم سائر الاعمال,Positive
جزمتي الا اقولك اسفل جزمتي الثوره في سوريا ما اشعلها الا الوهابيين اللي هم السلفيين,Negative
جسمها حلو ترقص عاريه,Negative
جمال الصفحه من جمالكم رقي اخلاقكم انا متاكد ان صفحتنا ستعجبك فانضم الينا ادعو اصدقائك فنحن نسعد بك بهم,Positive
جمهور لا يياس الى اخر ثانيه,Positive
جميل جدا,Positive
جميله المعاني المجرده التي تنزوي عند التطبيق,Positive
جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده,Positive
جهنم وباس المصير,Negative
جورج وسوف حلب مو طبيعي,Negative
حالات مرضيه نفسيه مستعصيه لا يستطيع شفائها لا العلم لا الفن,Negative
حاويه زباله بوجهك,Negative
حبيبي شرلبوني يموت شرلبونا انا مدريدي? لكن ماني مغير لعيونه,Negative
حتى بالستايل مقلده الله ياخذ عمره الغبي,Negative
حتى فى التخلف مش فالحين منيح,Negative
حتى نعرف نحل مشكله المجاري بعدين منعمل مفاعلات,Negative
حثاله شباب صايع,Negative
حثاله على حثاله والحثاله انظف منهم,Negative
حرام السخريه من الناس,Negative
حرام تحمل اسم عظيم زي هيك,Negative
حرام عليك كانو بقره بتولد,Negative
حرام عليك ماتشوفه شلون يصارخ كانه مشجع في ملعب,Negative
حرام والله حزنت عليه شو هالموقف الشنع,Negative
حرف الراء مصيبه ريس,Negative
حركه ارحمينا الله يشيلك اقول كيف اخوكي وابوكي راضيين عنك اف عندك ايزي,Negative
حزني كثير والله,Negative
حسبنا الله ايش صاير لشبابنا الحشيش والمخدرات غزتهم الله يهونها ويحفظ شباب وبنات الاردن,Negative
حسبنا الله نعم الوكيل في اناس همهم تجويع الشعب,Negative
حسبنا الله نعم الوكيل فيكم في مجلس النواب الحالي الذي لا يمثل الشعب الاردني فهم غير سائلين عن الشعب يبحثون عن مناصب وزاريه رواتب خياليه بينما المواطن الاردني طفح الكيل معه اصبح لا يطيق الحياه,Negative
حسبي الله عليكم الله بحاسبكم على كل حد بينفتن بسلبكم الله لا يسامحكم,Negative
حسبي الله نعم الوكيل في كل ظالم مفتري الله يعين الشعب,Negative
حسيت كله تمثيل وسخافه غباء,Negative
حطمت كل احلامي البريئه,Negative
"حظ من ينعم بمحبه الصغار قبل الكبار ، لان محبتهم صادقه ومن القلب",Positive
حفظ الله ابناء وبنات الامه جميع,Positive
حفظ الله وطننا من المنافقين المتاردنين,Negative
حفظ سور جديده تسميعها فى الصلاه يساعد على التركيز,Positive
حقا مزبوط صدقت,Positive
"حقيقه العمل التطوعي ، يساعد في القضاء على اوقات الفراغ ، يمنحك خبرات وتجربه جديده",Positive
حقيقى لازم نجمد قلبنا عن اى حاجه غلط,Positive
حكي فاضي,Negative
حلمي اكون ممثله افلام دعاره ,Negative
حلمي ان اكون مثل سوشي,Positive
حلو الشخص يكون عنده هدف يشتغل عليه لكن الدراسه شئ ضروري,Positive
حلو صديق عمري,Positive
حلو كلامك عزيزي,Positive
حلو...نفس العرطه سمعناها قبل 4سنين...طيب تصرف وسوبديلك اشي يرفع اقتصاد البلد,Negative
حلوه اوى الحمله دي وربنا يارب يكرمك وكل الي بيتبرعو,Positive
حلوه قوي يا عمرو لو كل واحد تيقن من هذه القصه لن يوجد حاسد لا ظالم لا متواكل اللهم ارزقنا رزقا حلال طيبا اللهم امين,Positive
حلوه وهي ساكته اذا ابتسم كرهت شكلها,Negative
حماك الله من النكد,Positive
حينما ننجح فى الانتصار على انفسنا,Positive
حيوان وكلب الله يموتك,Negative
"خبار الموت تهز قلوبنا بعمق وسياتي اليوم الذي تهتز فيه قلوب من حولنا لموتنا ، يارب نسالك حُسن الختام ورضاك عنا",Positive
خبر عاجل يمنع لجميع المجانين التقدم الى سوبر ستار,Negative
خبل معوق,Negative
خت قرار كتير وبرجع تاني بحاول اتغير ومش عرفه,Positive
خراي على احسن علوي ومحب لهاجحش خربت سوريه ياكلب,Negative
خرى عليك,Negative
خساره فيك اسمك :,Negative
خسئو وخسئ امثالهم ومن طاوعهم,Negative
خفي علينا يا حجه بلا مانسمع صوتك الناعم ويصيبنا صرع,Negative
خلتنى اضحك رغم انى مكتئبه جدا,Positive
خلق الايثار,Positive
خليه يرفع لكن اللي عنده وطنيه انتماء يصف سيارته بالشارع يروح على الشغل مشي,Negative
خير الكلام ما قل دل,Positive
خير صديق في الزمان كتاب,Positive
دار الزمن وصار الوسط الفني كله نفس ذي العاهات ووضحكو هما علينا,Negative
